symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,tp1_hit,sl,tp1,tp2
BTCUSDT,LONG,44937.6,44937.6,0.0007,0.0,trailing_stop,2024-01-02 01:00:00+00:00,2024-01-02 01:10:00+00:00,False,44361.128571,45802.307143,46378.778571
ETHUSDT,LONG,2383.57,2383.57,0.0126,0.0,trailing_stop,2024-01-02 01:00:00+00:00,2024-01-02 01:10:00+00:00,False,2360.377143,2418.359286,2441.552143
BTCUSDT,LONG,44937.6,45185.9,0.0007,0.17381,trailing_stop,2024-01-02 01:10:00+00:00,2024-01-02 03:00:00+00:00,False,44361.128571,45802.307143,46378.778571
ETHUSDT,LONG,2366.98,2373.06,0.0127,0.077216,trailing_stop,2024-01-03 01:00:00+00:00,2024-01-03 02:40:00+00:00,False,2348.981429,2393.977857,2411.976429
BTCUSDT,LONG,45312.7,44987.2,0.0007,-0.22785,SL_hit,2024-01-03 02:45:00+00:00,2024-01-03 07:50:00+00:00,False,45019.314286,45752.778571,46046.164286
ETHUSDT,LONG,2373.06,2378.91,0.0126,0.07371,trailing_stop,2024-01-03 02:40:00+00:00,2024-01-03 09:45:00+00:00,False,2355.09,2400.015,2417.985
BTCUSDT,SHORT,42672.3,43080.9,0.0007,-0.28602,SL_hit,2024-01-04 01:30:00+00:00,2024-01-04 02:45:00+00:00,False,42997.628571,42184.307143,41858.978571
ETHUSDT,SHORT,2212.7,2232.31,0.0136,-0.266696,SL_hit,2024-01-04 01:00:00+00:00,2024-01-04 02:55:00+00:00,False,2230.052857,2186.670714,2169.317857
BTCUSDT,LONG,43930.7,44025.4,0.0007,0.06629,trailing_stop,2024-01-04 16:00:00+00:00,2024-01-04 17:35:00+00:00,False,43492.314286,44588.278571,45026.664286
BTCUSDT,LONG,44137.5,43173.4,0.0007,-0.67487,SL_hit,2024-01-05 01:00:00+00:00,2024-01-05 01:45:00+00:00,False,43755.357143,44710.714286,45092.857143
BTCUSDT,LONG,43919.0,43433.9,0.0007,-0.33957,SL_hit,2024-01-05 12:15:00+00:00,2024-01-05 15:50:00+00:00,False,43457.971429,44610.542857,45071.571429
ETHUSDT,LONG,2259.03,2239.9,0.0133,-0.254429,SL_hit,2024-01-06 01:00:00+00:00,2024-01-06 05:20:00+00:00,False,2241.108571,2285.912143,2303.833571
BTCUSDT,LONG,44038.4,43669.3,0.0007,-0.25837,SL_hit,2024-01-06 01:00:00+00:00,2024-01-06 05:25:00+00:00,False,43698.142857,44548.785714,44889.042857
BTCUSDT,LONG,44166.2,43867.4,0.0007,-0.20916,SL_hit,2024-01-07 15:15:00+00:00,2024-01-07 16:50:00+00:00,False,43890.285714,44580.071429,44855.985714
ETHUSDT,LONG,2232.74,2241.24,0.0134,0.1139,trailing_stop,2024-01-07 15:15:00+00:00,2024-01-07 20:35:00+00:00,False,2218.945714,2253.431429,2267.225714
BTCUSDT,LONG,45148.1,44504.9,0.0007,-0.45024,SL_hit,2024-01-08 12:00:00+00:00,2024-01-08 12:25:00+00:00,False,44749.7,45745.7,46144.1
BTCUSDT,LONG,44504.9,44955.1,0.0007,0.31514,trailing_stop,2024-01-08 12:25:00+00:00,2024-01-08 13:15:00+00:00,False,44000.628571,45261.307143,45765.578571
ETHUSDT,LONG,2264.88,2268.76,0.0132,0.051216,trailing_stop,2024-01-08 12:00:00+00:00,2024-01-08 16:15:00+00:00,False,2244.58,2295.33,2315.63
ETHUSDT,LONG,2315.05,2300.5,0.013,-0.18915,SL_hit,2024-01-09 04:45:00+00:00,2024-01-09 07:05:00+00:00,False,2300.854286,2336.343571,2350.539286
BTCUSDT,LONG,46756.3,46175.5,0.0006,-0.34848,SL_hit,2024-01-09 01:00:00+00:00,2024-01-09 12:55:00+00:00,False,46289.342857,47456.735714,47923.692857
ETHUSDT,LONG,2302.47,2264.21,0.013,-0.49738,SL_hit,2024-01-09 12:00:00+00:00,2024-01-09 12:55:00+00:00,False,2285.711429,2327.607857,2344.366429
ETHUSDT,LONG,2605.44,2615.96,0.0115,0.12098,trailing_stop,2024-01-11 01:00:00+00:00,2024-01-11 04:15:00+00:00,False,2548.868571,2690.297143,2746.868571
BTCUSDT,LONG,46645.6,45719.1,0.0006,-0.5559,SL_hit,2024-01-11 01:00:00+00:00,2024-01-11 06:10:00+00:00,False,45719.642857,48034.535714,48960.492857
ETHUSDT,LONG,2612.21,2578.7,0.0115,-0.385365,SL_hit,2024-01-11 04:15:00+00:00,2024-01-11 06:10:00+00:00,False,2580.127143,2660.334286,2692.417143
BTCUSDT,SHORT,45864.7,45483.4,0.0007,0.26691,trailing_stop,2024-01-12 12:30:00+00:00,2024-01-12 14:45:00+00:00,False,46288.885714,45228.421429,44804.235714
BTCUSDT,SHORT,45462.9,44958.5,0.0007,0.35308,trailing_stop,2024-01-12 14:45:00+00:00,2024-01-12 15:25:00+00:00,False,45954.442857,44725.585714,44234.042857
BTCUSDT,SHORT,44958.5,44697.9,0.0007,0.18242,trailing_stop,2024-01-12 15:25:00+00:00,2024-01-12 16:05:00+00:00,False,45516.228571,44121.907143,43564.178571
ETHUSDT,SHORT,2507.76,2558.31,0.012,-0.6066,SL_hit,2024-01-13 01:00:00+00:00,2024-01-13 07:10:00+00:00,False,2555.685714,2435.871429,2387.945714
ETHUSDT,SHORT,2538.92,2563.21,0.0118,-0.286622,SL_hit,2024-01-13 12:00:00+00:00,2024-01-13 15:30:00+00:00,False,2560.575714,2506.436429,2484.780714
ETHUSDT,SHORT,2568.71,2553.49,0.0117,0.178074,trailing_stop,2024-01-14 01:30:00+00:00,2024-01-14 05:25:00+00:00,False,2586.252857,2542.395714,2524.852857
ETHUSDT,SHORT,2553.49,2545.99,0.0117,0.08775,trailing_stop,2024-01-14 05:25:00+00:00,2024-01-14 11:20:00+00:00,False,2569.495714,2529.481429,2513.475714
ETHUSDT,SHORT,2546.08,2537.75,0.0118,0.098294,trailing_stop,2024-01-14 12:15:00+00:00,2024-01-14 13:50:00+00:00,False,2561.382857,2523.125714,2507.822857
BTCUSDT,SHORT,42670.0,42312.8,0.0007,0.25004,trailing_stop,2024-01-13 01:00:00+00:00,2024-01-14 21:40:00+00:00,False,43587.028571,41294.457143,40377.428571
BTCUSDT,SHORT,42201.0,42788.1,0.0007,-0.41097,SL_hit,2024-01-15 01:00:00+00:00,2024-01-15 05:10:00+00:00,False,42740.228571,41392.157143,40852.928571
