symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
1000PEPEUSDT,LONG,0.004129,0.004129,7265.6818,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,0.003809,0.004609,0.004929,0.0,UNKNOWN,T2
ATOMUSDT,LONG,11.741,11.805,2.5551,0.1635264,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 03:05:00+00:00,125.0,False,11.584036,11.976446,12.133411,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.004129,0.0041641,7265.6818,0.25502543,trailing_stop,2024-03-02 01:10:00+00:00,2024-03-02 03:30:00+00:00,140.0,False,0.003809,0.004609,0.004929,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.173,12.192,2.4645,0.0468255,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 01:55:00+00:00,55.0,False,11.985321,12.454518,12.642196,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.192,11.999,2.4606,-0.4748958,SL_hit,2024-03-03 01:55:00+00:00,2024-03-03 06:10:00+00:00,255.0,False,12.003071,12.475393,12.664321,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0042889,0.0040773,6994.8005,-1.48009979,time_stop,2024-03-03 01:00:00+00:00,2024-03-03 07:00:00+00:00,360.0,False,0.004005,0.004715,0.004998,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0063313,0.0065126,4738.3634,0.85906528,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 02:00:00+00:00,60.0,False,0.005801,0.007127,0.007657,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.343,12.498,2.4305,0.3767275,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 02:05:00+00:00,65.0,False,12.108,12.6955,12.9305,0.0,UNKNOWN,T2
TONUSDT,LONG,2.6644,2.6812,11.2596,0.18916128,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 05:20:00+00:00,260.0,False,2.618632,2.733052,2.77882,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.409,12.409,2.4176,0.0,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:10:00+00:00,10.0,False,12.217929,12.695607,12.886679,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0083104,0.0085013,3609.9345,0.6891365,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:25:00+00:00,25.0,False,0.007561,0.009435,0.010184,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.409,12.424,2.4176,0.036264,trailing_stop,2024-03-05 01:10:00+00:00,2024-03-05 01:45:00+00:00,35.0,False,12.217929,12.695607,12.886679,0.0,UNKNOWN,T2
TONUSDT,LONG,2.5926,2.5906,11.5714,-0.0231428,trailing_stop,2024-03-06 01:00:00+00:00,2024-03-06 02:40:00+00:00,100.0,False,2.520975,2.700037,2.771662,0.0,UNKNOWN,T2
TONUSDT,LONG,2.5906,2.5903,11.5803,-0.00347409,trailing_stop,2024-03-06 02:40:00+00:00,2024-03-06 02:50:00+00:00,10.0,False,2.516671,2.701493,2.775421,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0063908,0.0064438,4694.248,0.24879514,trailing_stop,2024-03-06 03:30:00+00:00,2024-03-06 03:55:00+00:00,25.0,False,0.005926,0.007088,0.007553,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.994,14.065,2.1438,0.1522098,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:20:00+00:00,20.0,False,13.510429,14.719357,15.202929,0.0,UNKNOWN,T2
ATOMUSDT,LONG,14.013,14.114,2.1409,0.2162309,trailing_stop,2024-03-07 01:20:00+00:00,2024-03-07 01:55:00+00:00,35.0,False,13.505143,14.774786,15.282643,0.0,UNKNOWN,T2
TONUSDT,LONG,2.7163,2.72,11.0444,0.04086428,trailing_stop,2024-03-07 01:30:00+00:00,2024-03-07 02:20:00+00:00,50.0,False,2.669818,2.786023,2.832505,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.921,13.921,2.155,0.0,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 01:10:00+00:00,10.0,False,13.696179,14.258232,14.483054,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0073522,0.0073416,4080.4113,-0.04325236,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 01:55:00+00:00,55.0,False,0.006999,0.007883,0.008236,0.0,UNKNOWN,T2
TONUSDT,LONG,2.7529,2.7241,10.8976,-0.31385088,SL_hit,2024-03-08 01:00:00+00:00,2024-03-08 01:55:00+00:00,55.0,False,2.724543,2.795436,2.823793,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0096822,0.0097041,3098.4694,0.06785648,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 01:30:00+00:00,30.0,False,0.009069,0.010602,0.011216,0.0,UNKNOWN,T2
TONUSDT,LONG,2.7841,2.8126,10.7755,0.30710175,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 02:30:00+00:00,90.0,False,2.724689,2.873216,2.932627,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.405,13.502,2.238,0.217086,trailing_stop,2024-03-09 01:15:00+00:00,2024-03-09 05:05:00+00:00,230.0,False,13.240893,13.651161,13.815268,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0090056,0.0091708,3331.2605,0.55032423,trailing_stop,2024-03-10 01:45:00+00:00,2024-03-10 02:20:00+00:00,35.0,False,0.008622,0.009582,0.009966,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0091062,0.0090006,3294.4587,-0.34789484,trailing_stop,2024-03-10 02:20:00+00:00,2024-03-10 02:35:00+00:00,15.0,False,0.008678,0.009748,0.010176,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.504,13.425,2.2216,-0.1755064,time_stop,2024-03-10 03:00:00+00:00,2024-03-10 09:00:00+00:00,360.0,False,13.3065,13.80025,13.99775,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.2,13.485,2.2727,0.6477195,trailing_stop,2024-03-11 03:15:00+00:00,2024-03-11 05:20:00+00:00,125.0,False,12.80625,13.790625,14.184375,0.0,UNKNOWN,T2
TONUSDT,LONG,2.7877,2.7968,10.7616,0.09793056,trailing_stop,2024-03-11 04:30:00+00:00,2024-03-11 05:20:00+00:00,50.0,False,2.748432,2.846602,2.88587,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0084328,0.0085066,3557.5372,0.26254625,trailing_stop,2024-03-11 04:45:00+00:00,2024-03-11 05:30:00+00:00,45.0,False,0.0081,0.008931,0.009264,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0087,0.0087372,3448.2759,0.12827586,trailing_stop,2024-03-12 01:00:00+00:00,2024-03-12 01:30:00+00:00,30.0,False,0.008352,0.009223,0.009571,0.0,UNKNOWN,T2
TONUSDT,LONG,3.3473,3.4421,8.9624,0.84963552,trailing_stop,2024-03-12 01:00:00+00:00,2024-03-12 02:00:00+00:00,60.0,False,3.239211,3.509434,3.617523,0.0,UNKNOWN,T2
