symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
BCHUSDT,LONG,463.29,464.04,0.0648,0.0486,time_stop,2024-06-02 01:00:00+00:00,2024-06-02 07:00:00+00:00,360.0,False,459.707857,468.663214,472.245357,0.0,UNKNOWN,T2
BCHUSDT,LONG,462.77,459.05,0.0648,-0.241056,SL_hit,2024-06-02 12:00:00+00:00,2024-06-02 17:10:00+00:00,310.0,False,459.095,468.2825,471.9575,0.0,UNKNOWN,T2
BCHUSDT,LONG,461.49,462.73,0.065,0.0806,trailing_stop,2024-06-03 01:15:00+00:00,2024-06-03 02:25:00+00:00,70.0,False,456.463214,469.030179,474.056964,0.0,UNKNOWN,T2
BCHUSDT,LONG,462.73,466.02,0.0648,0.213192,trailing_stop,2024-06-03 02:25:00+00:00,2024-06-03 06:30:00+00:00,245.0,False,456.608571,471.912143,478.033571,0.0,UNKNOWN,T2
BCHUSDT,LONG,468.18,468.56,0.0641,0.024358,trailing_stop,2024-06-03 13:30:00+00:00,2024-06-03 13:55:00+00:00,25.0,False,464.526429,473.660357,477.313929,0.0,UNKNOWN,T2
BCHUSDT,LONG,467.28,470.08,0.0642,0.17976,trailing_stop,2024-06-04 12:00:00+00:00,2024-06-04 14:20:00+00:00,140.0,False,461.2425,476.33625,482.37375,0.0,UNKNOWN,T2
BCHUSDT,LONG,474.28,476.73,0.0633,0.155085,trailing_stop,2024-06-04 15:30:00+00:00,2024-06-04 17:05:00+00:00,95.0,False,468.101429,483.547857,489.726429,0.0,UNKNOWN,T2
BCHUSDT,LONG,480.69,481.64,0.0624,0.05928,trailing_stop,2024-06-05 01:30:00+00:00,2024-06-05 05:05:00+00:00,215.0,False,476.073929,487.614107,492.230179,0.0,UNKNOWN,T2
BCHUSDT,LONG,481.03,483.18,0.0624,0.13416,trailing_stop,2024-06-05 05:05:00+00:00,2024-06-05 07:30:00+00:00,145.0,False,476.422857,487.940714,492.547857,0.0,UNKNOWN,T2
BCHUSDT,LONG,482.68,483.89,0.0622,0.075262,trailing_stop,2024-06-05 15:15:00+00:00,2024-06-05 16:30:00+00:00,75.0,False,477.485357,490.471964,495.666607,0.0,UNKNOWN,T2
BCHUSDT,LONG,494.56,497.99,0.0607,0.208201,trailing_stop,2024-06-06 01:00:00+00:00,2024-06-06 02:05:00+00:00,65.0,False,490.017143,501.374286,505.917143,0.0,UNKNOWN,T2
BCHUSDT,LONG,498.86,493.25,0.0601,-0.337161,SL_hit,2024-06-06 02:05:00+00:00,2024-06-06 06:30:00+00:00,265.0,False,493.333214,507.150179,512.676964,0.0,UNKNOWN,T2
BCHUSDT,LONG,495.41,497.93,0.0606,0.152712,trailing_stop,2024-06-06 12:00:00+00:00,2024-06-06 15:00:00+00:00,180.0,False,490.849286,502.251071,506.811786,0.0,UNKNOWN,T2
BCHUSDT,LONG,497.3,507.4,0.0603,0.4953645,TP2_hit,2024-06-07 03:00:00+00:00,2024-06-07 04:55:00+00:00,115.0,True,493.396429,503.155357,507.058929,0.0,UNKNOWN,T2
BCHUSDT,LONG,507.4,515.16,0.0591,0.51508605,trailing_stop,2024-06-07 04:55:00+00:00,2024-06-07 05:30:00+00:00,35.0,True,501.371429,516.442857,522.471429,0.0,UNKNOWN,T2
BCHUSDT,LONG,516.32,517.07,0.0581,0.043575,trailing_stop,2024-06-07 05:30:00+00:00,2024-06-07 06:25:00+00:00,55.0,False,506.862857,530.505714,539.962857,0.0,UNKNOWN,T2
