symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
DOGEUSDT,LONG,0.14402,0.14402,208.3044,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,0.134709,0.157986,0.167297,0.0,UNKNOWN,T2
ADAUSDT,LONG,0.746,0.746,40.2145,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,0.721946,0.78208,0.806134,0.0,UNKNOWN,T2
BNBUSDT,LONG,408.3,413.29,0.0735,0.41597325,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 04:05:00+00:00,185.0,True,405.005357,413.241964,416.536607,0.0,UNKNOWN,T2
ADAUSDT,LONG,0.7377,0.7395,40.6669,0.07320042,trailing_stop,2024-03-03 01:45:00+00:00,2024-03-03 04:30:00+00:00,165.0,False,0.723039,0.759691,0.774352,0.0,UNKNOWN,T2
ADAUSDT,LONG,0.7421,0.7282,40.4258,-0.56191862,SL_hit,2024-03-03 04:30:00+00:00,2024-03-03 05:50:00+00:00,80.0,False,0.72935,0.761225,0.773975,0.0,UNKNOWN,T2
DOGEUSDT,LONG,0.14275,0.13925,210.1576,-0.7355516,SL_hit,2024-03-03 04:45:00+00:00,2024-03-03 06:00:00+00:00,75.0,False,0.139796,0.14718,0.150134,0.0,UNKNOWN,T2
ADAUSDT,LONG,0.7343,0.7361,40.8552,0.07353936,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 01:30:00+00:00,30.0,False,0.714925,0.763362,0.782737,0.0,UNKNOWN,T2
DOGEUSDT,LONG,0.15317,0.15679,195.8608,0.7090161,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 02:30:00+00:00,90.0,False,0.143958,0.166989,0.176201,0.0,UNKNOWN,T2
BNBUSDT,LONG,415.33,416.23,0.0722,0.06498,time_stop,2024-03-04 01:00:00+00:00,2024-03-04 07:00:00+00:00,360.0,False,411.038929,421.766607,426.057679,0.0,UNKNOWN,T2
ADAUSDT,LONG,0.7744,0.7744,38.7397,0.0,trailing_stop,2024-03-05 01:15:00+00:00,2024-03-05 01:25:00+00:00,10.0,False,0.755525,0.802712,0.821588,0.0,UNKNOWN,T2
DOGEUSDT,LONG,0.19768,0.1972,151.7604,-0.07284499,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:35:00+00:00,35.0,False,0.186319,0.214721,0.226082,0.0,UNKNOWN,T2
BNBUSDT,LONG,420.3,424.56,0.0714,0.304164,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 04:45:00+00:00,225.0,False,415.158929,428.011607,433.152679,0.0,UNKNOWN,T2
BNBUSDT,LONG,396.36,401.69,0.0757,0.403481,trailing_stop,2024-03-06 04:15:00+00:00,2024-03-06 05:00:00+00:00,45.0,False,389.586786,406.519821,413.293036,0.0,UNKNOWN,T2
