symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
BTCUSDT,LONG,68399.5,67965.2,0.0004,-0.17372,SL_hit,2024-06-02 14:15:00+00:00,2024-06-02 17:15:00+00:00,180.0,False,67976.014286,69034.728571,69458.214286,0.0,UNKNOWN,T1
BTCUSDT,LONG,68504.9,68928.1,0.0004,0.226584,trailing_stop,2024-06-03 02:30:00+00:00,2024-06-03 07:25:00+00:00,295.0,True,68088.971429,69128.792857,69544.721429,0.0,UNKNOWN,T1
BTCUSDT,LONG,69602.8,69957.5,0.0004,0.23093,trailing_stop,2024-06-03 13:00:00+00:00,2024-06-03 13:50:00+00:00,50.0,True,69173.414286,70246.878571,70676.264286,0.0,UNKNOWN,T1
BTCUSDT,LONG,69830.1,69229.9,0.0004,-0.24008,SL_hit,2024-06-03 13:50:00+00:00,2024-06-03 14:35:00+00:00,45.0,False,69309.142857,70611.535714,71132.492857,0.0,UNKNOWN,T1
BTCUSDT,LONG,69866.1,70732.8,0.0004,0.324606,trailing_stop,2024-06-04 14:00:00+00:00,2024-06-04 17:00:00+00:00,180.0,True,69415.542857,70541.935714,70992.492857,0.0,UNKNOWN,T1
BTCUSDT,LONG,71020.7,71342.2,0.0004,0.1286,time_stop,2024-06-05 01:45:00+00:00,2024-06-05 07:45:00+00:00,360.0,False,70577.971429,71684.792857,72127.521429,0.0,UNKNOWN,T1
BTCUSDT,LONG,70870.4,71366.2,0.0004,0.259082,trailing_stop,2024-06-05 13:30:00+00:00,2024-06-05 16:45:00+00:00,195.0,True,70432.8,71526.8,71964.4,0.0,UNKNOWN,T1
BTCUSDT,LONG,71355.8,71370.5,0.0004,0.00588,trailing_stop,2024-06-05 16:45:00+00:00,2024-06-05 18:10:00+00:00,85.0,False,70687.171429,72358.742857,73027.371429,0.0,UNKNOWN,T1
BTCUSDT,LONG,71163.5,71379.1,0.0004,0.08624,trailing_stop,2024-06-06 13:45:00+00:00,2024-06-06 15:45:00+00:00,120.0,False,70726.828571,71818.507143,72255.178571,0.0,UNKNOWN,T1
BTCUSDT,LONG,71334.3,70786.0,0.0004,-0.21932,SL_hit,2024-06-06 15:45:00+00:00,2024-06-06 19:35:00+00:00,230.0,False,70801.2,72133.95,72667.05,0.0,UNKNOWN,T1
BTCUSDT,LONG,71064.3,71360.3,0.0004,0.1184,trailing_stop,2024-06-07 12:30:00+00:00,2024-06-07 14:15:00+00:00,105.0,False,70545.257143,71842.864286,72361.907143,0.0,UNKNOWN,T1
BTCUSDT,LONG,71375.6,70623.5,0.0004,-0.30084,SL_hit,2024-06-07 14:15:00+00:00,2024-06-07 17:15:00+00:00,180.0,False,70682.742857,72414.885714,73107.742857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,68176.5,68101.8,0.0004,0.02988,trailing_stop,2024-06-11 02:15:00+00:00,2024-06-11 04:40:00+00:00,145.0,False,68654.571429,67459.392857,66981.321429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,68101.8,68007.4,0.0004,0.03776,trailing_stop,2024-06-11 04:40:00+00:00,2024-06-11 06:00:00+00:00,80.0,False,68865.071429,66956.892857,66193.621429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,67192.7,67088.4,0.0004,0.04172,trailing_stop,2024-06-11 12:00:00+00:00,2024-06-11 12:40:00+00:00,40.0,False,67734.342857,66380.235714,65838.592857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,67742.6,67245.8,0.0004,0.26476,trailing_stop,2024-06-13 02:45:00+00:00,2024-06-13 03:40:00+00:00,55.0,True,68156.6,67121.6,66707.6,0.0,UNKNOWN,T1
BTCUSDT,SHORT,67245.8,67197.3,0.0004,0.0194,time_stop,2024-06-13 03:40:00+00:00,2024-06-13 09:40:00+00:00,360.0,False,67778.842857,66446.235714,65913.192857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,67580.5,66708.1,0.0004,0.377716,trailing_stop,2024-06-13 13:45:00+00:00,2024-06-13 16:10:00+00:00,145.0,True,68234.314286,66599.778571,65945.964286,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65841.7,65302.2,0.0005,0.26975,trailing_stop,2024-06-14 16:00:00+00:00,2024-06-14 17:05:00+00:00,65.0,False,66479.585714,64884.871429,64246.985714,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65696.5,65406.3,0.0005,0.1451,trailing_stop,2024-06-17 13:00:00+00:00,2024-06-17 14:05:00+00:00,65.0,False,66096.714286,65096.178571,64695.964286,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65525.2,65938.1,0.0005,-0.20645,SL_hit,2024-06-17 14:15:00+00:00,2024-06-17 16:35:00+00:00,140.0,False,65922.271429,64929.592857,64532.521429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65922.9,66587.2,0.0005,-0.33215,SL_hit,2024-06-17 16:35:00+00:00,2024-06-17 17:55:00+00:00,80.0,False,66568.814286,64954.028571,64308.114286,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65695.0,64831.1,0.0005,0.5051075,trailing_stop,2024-06-18 01:00:00+00:00,2024-06-18 01:45:00+00:00,45.0,True,66146.428571,65017.857143,64566.428571,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65103.8,64828.3,0.0005,0.13775,trailing_stop,2024-06-18 01:45:00+00:00,2024-06-18 02:10:00+00:00,25.0,False,65771.428571,64102.357143,63434.728571,0.0,UNKNOWN,T1
BTCUSDT,SHORT,64828.3,65650.0,0.0005,-0.41085,SL_hit,2024-06-18 02:10:00+00:00,2024-06-18 04:15:00+00:00,125.0,False,65562.385714,63727.171429,62993.085714,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65369.6,65037.4,0.0005,0.1661,trailing_stop,2024-06-20 13:30:00+00:00,2024-06-20 14:25:00+00:00,55.0,False,65929.328571,64530.007143,63970.278571,0.0,UNKNOWN,T1
BTCUSDT,SHORT,65037.4,64824.9,0.0005,0.10625,trailing_stop,2024-06-20 14:25:00+00:00,2024-06-20 16:40:00+00:00,135.0,False,65662.771429,64099.342857,63473.971429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,64824.9,64969.6,0.0005,-0.07235,time_stop,2024-06-20 16:40:00+00:00,2024-06-20 22:40:00+00:00,360.0,False,65484.214286,63835.928571,63176.614286,0.0,UNKNOWN,T1
BTCUSDT,SHORT,63577.3,64141.1,0.0005,-0.2819,SL_hit,2024-06-21 12:00:00+00:00,2024-06-21 14:30:00+00:00,150.0,False,64127.442857,62752.085714,62201.942857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,64074.8,63698.6,0.0005,0.1881,trailing_stop,2024-06-21 14:30:00+00:00,2024-06-21 15:50:00+00:00,80.0,False,64644.8,63219.8,62649.8,0.0,UNKNOWN,T1
BTCUSDT,SHORT,63716.9,64436.7,0.0005,-0.3599,SL_hit,2024-06-21 15:50:00+00:00,2024-06-21 20:15:00+00:00,265.0,False,64349.842857,62767.485714,62134.542857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,63033.7,62866.5,0.0005,0.0836,trailing_stop,2024-06-24 01:00:00+00:00,2024-06-24 04:30:00+00:00,210.0,False,63423.271429,62449.342857,62059.771429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,62870.0,62333.7,0.0005,0.29246,trailing_stop,2024-06-24 04:30:00+00:00,2024-06-24 06:15:00+00:00,105.0,True,63256.642857,62290.035714,61903.392857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61364.6,61162.0,0.0005,0.1013,trailing_stop,2024-06-24 12:00:00+00:00,2024-06-24 13:20:00+00:00,80.0,False,62174.942857,60149.085714,59338.742857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61034.2,61507.6,0.0005,-0.2367,SL_hit,2024-06-25 12:45:00+00:00,2024-06-25 14:15:00+00:00,90.0,False,61467.871429,60383.692857,59950.021429,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61775.1,61239.4,0.0005,0.26785,time_stop,2024-06-26 04:15:00+00:00,2024-06-26 10:15:00+00:00,360.0,False,62149.985714,61212.771429,60837.885714,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61256.2,61134.7,0.0005,0.06075,trailing_stop,2024-06-26 15:00:00+00:00,2024-06-26 17:25:00+00:00,145.0,False,61741.814286,60527.778571,60042.164286,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61517.0,61443.8,0.0005,0.0366,time_stop,2024-06-28 04:15:00+00:00,2024-06-28 10:15:00+00:00,360.0,False,61937.828571,60885.757143,60464.928571,0.0,UNKNOWN,T1
BTCUSDT,SHORT,61279.9,60990.1,0.0005,0.1449,trailing_stop,2024-06-28 13:45:00+00:00,2024-06-28 15:25:00+00:00,100.0,False,61749.842857,60574.985714,60105.042857,0.0,UNKNOWN,T1
BTCUSDT,SHORT,60990.1,60321.6,0.0005,0.33425,trailing_stop,2024-06-28 15:25:00+00:00,2024-06-28 20:15:00+00:00,290.0,False,61600.585714,60074.371429,59463.885714,0.0,UNKNOWN,T1
