symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
APTUSDT,LONG,11.713,11.713,2.5613,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,11.449786,12.107821,12.371036,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.12883,0.13124,232.865,0.63991302,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 02:25:00+00:00,85.0,True,0.127005,0.131568,0.133392,0.0,UNKNOWN,T2
APTUSDT,LONG,11.713,11.969,2.5613,0.6556928,trailing_stop,2024-03-02 01:10:00+00:00,2024-03-02 04:30:00+00:00,200.0,False,11.449786,12.107821,12.371036,0.0,UNKNOWN,T2
APTUSDT,LONG,12.245,12.254,2.45,0.02205,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 01:55:00+00:00,55.0,False,11.953571,12.682143,12.973571,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.13601,0.13642,220.572,0.09043452,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 02:20:00+00:00,80.0,False,0.133597,0.139629,0.142041,0.0,UNKNOWN,T2
APTUSDT,LONG,12.254,12.26,2.4482,0.0146892,trailing_stop,2024-03-03 01:55:00+00:00,2024-03-03 03:40:00+00:00,105.0,False,11.943464,12.719804,13.030339,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.13521,0.1357,221.8771,0.10871978,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 01:30:00+00:00,30.0,False,0.132764,0.13888,0.141326,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.13639,0.13698,219.9575,0.12977492,trailing_stop,2024-03-04 01:30:00+00:00,2024-03-04 03:35:00+00:00,125.0,False,0.133781,0.140303,0.142912,0.0,UNKNOWN,T2
APTUSDT,LONG,11.712,11.704,2.5615,-0.020492,trailing_stop,2024-03-04 01:30:00+00:00,2024-03-04 05:40:00+00:00,250.0,False,11.417714,12.153429,12.447714,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.14958,0.14927,200.5616,-0.0621741,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:20:00+00:00,20.0,False,0.145694,0.155409,0.159294,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.15007,0.15024,199.9067,0.03398414,trailing_stop,2024-03-05 01:20:00+00:00,2024-03-05 01:40:00+00:00,20.0,False,0.146009,0.156161,0.160222,0.0,UNKNOWN,T2
APTUSDT,LONG,12.067,12.264,2.4861,0.4897617,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:45:00+00:00,45.0,False,11.732357,12.568964,12.903607,0.0,UNKNOWN,T2
FETUSDT,LONG,1.7593,1.7593,17.0522,0.0,trailing_stop,2024-03-06 01:00:00+00:00,2024-03-06 01:10:00+00:00,10.0,False,1.651943,1.920336,2.027693,0.0,UNKNOWN,T2
APTUSDT,LONG,13.259,13.259,2.2626,0.0,trailing_stop,2024-03-06 01:00:00+00:00,2024-03-06 01:10:00+00:00,10.0,False,12.517393,14.371411,15.113018,0.0,UNKNOWN,T2
FETUSDT,LONG,1.7593,1.8385,17.0522,1.35053424,trailing_stop,2024-03-06 01:10:00+00:00,2024-03-06 01:55:00+00:00,45.0,False,1.651943,1.920336,2.027693,0.0,UNKNOWN,T2
FETUSDT,LONG,2.588,2.588,11.592,0.0,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:10:00+00:00,10.0,False,2.363089,2.925366,3.150277,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.13873,0.13885,216.2474,0.02594969,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:35:00+00:00,35.0,False,0.135918,0.142949,0.145761,0.0,UNKNOWN,T2
APTUSDT,LONG,13.589,13.639,2.2077,0.110385,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 03:15:00+00:00,135.0,False,13.281143,14.050786,14.358643,0.0,UNKNOWN,T2
FETUSDT,LONG,2.5949,2.5949,11.5611,0.0,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 01:10:00+00:00,10.0,False,2.478596,2.769355,2.885659,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.14305,0.14156,209.7169,-0.31247818,SL_hit,2024-03-08 01:00:00+00:00,2024-03-08 01:30:00+00:00,30.0,False,0.141561,0.145284,0.146773,0.0,UNKNOWN,T2
FETUSDT,LONG,2.5949,2.4714,11.5611,-1.42779585,SL_hit,2024-03-08 01:10:00+00:00,2024-03-08 01:50:00+00:00,40.0,False,2.478596,2.769355,2.885659,0.0,UNKNOWN,T2
FETUSDT,LONG,2.786,2.8013,10.7681,0.16475193,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 02:05:00+00:00,65.0,False,2.682464,2.941304,3.044839,0.0,UNKNOWN,T2
APTUSDT,LONG,13.311,13.545,2.2538,0.5273892,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 03:05:00+00:00,125.0,False,13.110643,13.611536,13.811893,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.14164,0.14325,211.8046,0.34100541,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 05:05:00+00:00,245.0,False,0.140124,0.143914,0.14543,0.0,UNKNOWN,T2
FETUSDT,LONG,2.9574,2.9354,10.144,-0.223168,trailing_stop,2024-03-10 01:00:00+00:00,2024-03-10 01:25:00+00:00,25.0,False,2.804186,3.187221,3.340436,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.1428,0.14307,210.084,0.05672268,trailing_stop,2024-03-10 01:00:00+00:00,2024-03-10 02:20:00+00:00,80.0,False,0.141286,0.145071,0.146586,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.14328,0.14346,209.3802,0.03768844,trailing_stop,2024-03-10 02:20:00+00:00,2024-03-10 05:35:00+00:00,195.0,False,0.141312,0.146232,0.1482,0.0,UNKNOWN,T2
FETUSDT,LONG,2.7945,2.8052,10.7354,0.11486878,trailing_stop,2024-03-11 01:00:00+00:00,2024-03-11 01:30:00+00:00,30.0,False,2.671286,2.979321,3.102536,0.0,UNKNOWN,T2
FETUSDT,LONG,2.7832,2.7633,10.779,-0.2145021,trailing_stop,2024-03-11 01:30:00+00:00,2024-03-11 01:50:00+00:00,20.0,False,2.642129,2.994807,3.135879,0.0,UNKNOWN,T2
APTUSDT,LONG,12.741,12.789,2.3546,0.1130208,trailing_stop,2024-03-11 03:00:00+00:00,2024-03-11 04:15:00+00:00,75.0,False,12.31975,13.372875,13.794125,0.0,UNKNOWN,T2
FETUSDT,LONG,2.7737,2.7999,10.8159,0.28337658,trailing_stop,2024-03-12 02:00:00+00:00,2024-03-12 02:45:00+00:00,45.0,False,2.701986,2.881271,2.952986,0.0,UNKNOWN,T2
APTUSDT,LONG,13.607,13.63,2.2047,0.0507081,trailing_stop,2024-03-12 01:00:00+00:00,2024-03-12 03:45:00+00:00,165.0,False,13.411286,13.900571,14.096286,0.0,UNKNOWN,T2
FETUSDT,LONG,2.7784,2.6924,10.7976,-0.9285936,SL_hit,2024-03-12 02:45:00+00:00,2024-03-12 06:00:00+00:00,195.0,False,2.698829,2.897757,2.977329,0.0,UNKNOWN,T2
APTUSDT,LONG,13.375,13.596,2.243,0.5948436,trailing_stop,2024-03-13 03:00:00+00:00,2024-03-13 07:00:00+00:00,240.0,True,13.187857,13.655714,13.842857,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.15078,0.15268,198.9654,0.37803426,trailing_stop,2024-03-13 01:45:00+00:00,2024-03-13 07:25:00+00:00,340.0,False,0.14911,0.153284,0.154954,0.0,UNKNOWN,T2
FETUSDT,LONG,2.7052,2.7039,11.0898,-0.01441674,trailing_stop,2024-03-13 12:00:00+00:00,2024-03-13 12:25:00+00:00,25.0,False,2.627271,2.822093,2.900021,0.0,UNKNOWN,T2
APTUSDT,LONG,13.348,13.399,2.2475,0.1146225,trailing_stop,2024-03-14 01:00:00+00:00,2024-03-14 01:35:00+00:00,35.0,False,13.059964,13.780054,14.068089,0.0,UNKNOWN,T2
FETUSDT,LONG,2.6626,2.5985,11.2672,-0.72222752,SL_hit,2024-03-14 01:45:00+00:00,2024-03-14 04:45:00+00:00,180.0,False,2.599868,2.756698,2.81943,0.0,UNKNOWN,T2
APTUSDT,LONG,13.4,13.221,2.2388,-0.4007452,time_stop,2024-03-14 01:35:00+00:00,2024-03-14 07:35:00+00:00,360.0,False,13.095,13.8575,14.1625,0.0,UNKNOWN,T2
APTUSDT,LONG,14.394,14.462,2.0842,0.1417256,trailing_stop,2024-03-15 01:00:00+00:00,2024-03-15 01:45:00+00:00,45.0,False,13.9415,15.07275,15.52525,0.0,UNKNOWN,T2
FETUSDT,LONG,2.8199,2.7074,10.6387,-1.19685375,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:15:00+00:00,75.0,False,2.720721,2.968668,3.067846,0.0,UNKNOWN,T2
XLMUSDT,LONG,0.14427,0.14269,207.9434,-0.32855057,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:20:00+00:00,80.0,False,0.142704,0.146619,0.148185,0.0,UNKNOWN,T2
