symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
LTCUSDT,LONG,88.33,88.83,0.3396,0.1698,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 03:20:00+00:00,140.0,False,86.699643,90.775536,92.405893,0.0,UNKNOWN,T2
UNIUSDT,LONG,11.578,12.578,2.5911,2.31825717,TP2_hit,2024-03-02 03:15:00+00:00,2024-03-02 03:55:00+00:00,40.0,True,11.222107,12.111839,12.467732,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.6979,1.6553,17.6689,-0.75269514,SL_hit,2024-03-02 03:15:00+00:00,2024-03-02 04:20:00+00:00,65.0,False,1.662114,1.751579,1.787364,0.0,UNKNOWN,T2
UNIUSDT,LONG,12.457,12.711,2.4083,0.6117082,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 04:30:00+00:00,210.0,False,12.175214,12.879679,13.161464,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.6187,1.6238,18.5334,0.09452034,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 05:30:00+00:00,270.0,False,1.595414,1.653629,1.676914,0.0,UNKNOWN,T2
LTCUSDT,LONG,93.58,91.48,0.3206,-0.67326,time_stop,2024-03-03 01:00:00+00:00,2024-03-03 07:00:00+00:00,360.0,False,91.028214,97.407679,99.959464,0.0,UNKNOWN,T2
UNIUSDT,LONG,12.644,12.76,2.3727,0.2752332,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 01:30:00+00:00,30.0,False,12.332393,13.111411,13.423018,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.5709,1.5371,19.0973,-0.64548874,SL_hit,2024-03-04 01:15:00+00:00,2024-03-04 03:10:00+00:00,115.0,False,1.538239,1.619891,1.652552,0.0,UNKNOWN,T2
LTCUSDT,LONG,91.02,91.16,0.3296,0.046144,trailing_stop,2024-03-04 01:15:00+00:00,2024-03-04 07:05:00+00:00,350.0,False,89.0575,93.96375,95.92625,0.0,UNKNOWN,T2
UNIUSDT,LONG,12.475,12.6,2.4048,0.3006,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:45:00+00:00,45.0,False,12.223393,12.852411,13.104018,0.0,UNKNOWN,T2
LTCUSDT,LONG,89.2,90.56,0.3363,0.7284258,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 02:15:00+00:00,75.0,True,87.578571,91.632143,93.253571,0.0,UNKNOWN,T2
UNIUSDT,LONG,12.568,12.719,2.387,0.360437,trailing_stop,2024-03-05 01:45:00+00:00,2024-03-05 04:10:00+00:00,145.0,False,12.283357,12.994964,13.279607,0.0,UNKNOWN,T2
UNIUSDT,LONG,13.021,13.627,2.304,1.396224,trailing_stop,2024-03-06 01:00:00+00:00,2024-03-06 04:05:00+00:00,185.0,False,12.527786,13.760821,14.254036,0.0,UNKNOWN,T2
UNIUSDT,LONG,13.839,14.385,2.1678,1.1836188,trailing_stop,2024-03-06 04:05:00+00:00,2024-03-06 04:55:00+00:00,50.0,False,13.241679,14.734982,15.332304,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.4294,1.4394,20.9878,0.209878,trailing_stop,2024-03-06 04:00:00+00:00,2024-03-06 05:30:00+00:00,90.0,False,1.389204,1.489695,1.529891,0.0,UNKNOWN,T2
LTCUSDT,LONG,85.96,86.34,0.349,0.13262,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:30:00+00:00,30.0,False,84.6225,87.96625,89.30375,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.5185,1.5226,19.7563,0.08100083,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 02:05:00+00:00,65.0,False,1.481518,1.573973,1.610955,0.0,UNKNOWN,T2
LTCUSDT,LONG,86.38,84.84,0.3473,-0.534842,SL_hit,2024-03-07 01:30:00+00:00,2024-03-07 03:40:00+00:00,130.0,False,84.858571,88.662143,90.183571,0.0,UNKNOWN,T2
UNIUSDT,LONG,15.144,15.202,1.981,0.114898,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 01:45:00+00:00,45.0,False,14.879357,15.540964,15.805607,0.0,UNKNOWN,T2
LTCUSDT,LONG,88.93,88.65,0.3373,-0.094444,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 03:30:00+00:00,150.0,False,87.646071,90.855893,92.139821,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.6,1.5732,18.75,-0.5025,time_stop,2024-03-08 01:00:00+00:00,2024-03-08 07:00:00+00:00,360.0,False,1.550161,1.674759,1.724598,0.0,UNKNOWN,T2
UNIUSDT,LONG,14.751,14.751,2.0338,0.0,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 01:10:00+00:00,10.0,False,14.505643,15.119036,15.364393,0.0,UNKNOWN,T2
UNIUSDT,LONG,14.751,14.803,2.0338,0.1057576,trailing_stop,2024-03-09 01:10:00+00:00,2024-03-09 01:55:00+00:00,45.0,False,14.505643,15.119036,15.364393,0.0,UNKNOWN,T2
LTCUSDT,LONG,90.12,88.72,0.3329,-0.46606,SL_hit,2024-03-09 01:00:00+00:00,2024-03-09 03:00:00+00:00,120.0,False,88.775357,92.136964,93.481607,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.6358,1.6387,18.3397,0.05318513,trailing_stop,2024-03-10 01:00:00+00:00,2024-03-10 01:50:00+00:00,50.0,False,1.610782,1.673327,1.698345,0.0,UNKNOWN,T2
SUIUSDT,LONG,1.6388,1.6033,18.3061,-0.64986655,SL_hit,2024-03-10 01:50:00+00:00,2024-03-10 05:45:00+00:00,235.0,False,1.6038,1.6913,1.7263,0.0,UNKNOWN,T2
LTCUSDT,LONG,90.08,88.73,0.333,-0.44955,SL_hit,2024-03-10 01:00:00+00:00,2024-03-10 05:50:00+00:00,290.0,False,88.755,92.0675,93.3925,0.0,UNKNOWN,T2
