symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
AVAXUSDT,LONG,41.831,42.449,0.7172,0.4432296,trailing_stop,2024-03-01 01:00:00+00:00,2024-03-01 01:50:00+00:00,50.0,False,40.322786,44.093321,45.601536,0.0,UNKNOWN,T2
AVAXUSDT,LONG,42.513,42.596,0.7057,0.0585731,trailing_stop,2024-03-01 01:50:00+00:00,2024-03-01 03:20:00+00:00,90.0,False,40.849071,45.008893,46.672821,0.0,UNKNOWN,T2
XRPUSDT,LONG,0.5929,0.5952,50.5988,0.11637724,trailing_stop,2024-03-01 01:00:00+00:00,2024-03-01 05:20:00+00:00,260.0,False,0.574686,0.620221,0.638436,0.0,UNKNOWN,T2
XRPUSDT,LONG,0.6112,0.6112,49.0838,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,0.60045,0.627325,0.638075,0.0,UNKNOWN,T2
AVAXUSDT,LONG,42.605,42.605,0.7041,0.0,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:10:00+00:00,10.0,False,41.800179,43.812232,44.617054,0.0,UNKNOWN,T2
LINKUSDT,LONG,20.131,20.394,1.4902,0.3919226,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:50:00+00:00,50.0,False,19.886893,20.497161,20.741268,0.0,UNKNOWN,T2
XRPUSDT,LONG,0.6342,0.6352,47.3037,0.0473037,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 02:15:00+00:00,75.0,False,0.624325,0.649012,0.658887,0.0,UNKNOWN,T2
LINKUSDT,LONG,21.517,21.177,1.3942,-0.474028,SL_hit,2024-03-03 01:00:00+00:00,2024-03-03 02:20:00+00:00,80.0,False,21.177179,22.026732,22.366554,0.0,UNKNOWN,T2
AVAXUSDT,LONG,44.3,43.191,0.6772,-0.7510148,SL_hit,2024-03-03 01:00:00+00:00,2024-03-03 06:15:00+00:00,315.0,False,43.210714,45.933929,47.023214,0.0,UNKNOWN,T2
XRPUSDT,LONG,0.6257,0.6277,47.9463,0.0958926,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 01:30:00+00:00,30.0,False,0.613164,0.644504,0.657039,0.0,UNKNOWN,T2
