symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
BCHUSDT,LONG,360.66,345.3,0.0832,-1.277952,SL_hit,2024-03-02 01:00:00+00:00,2024-03-02 01:05:00+00:00,5.0,False,347.017143,381.124286,394.767143,0.0,UNKNOWN,T2
AAVEUSDT,LONG,111.3,109.89,0.2695,-0.379995,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 01:20:00+00:00,20.0,False,109.808929,113.536607,115.027679,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.9776,1.9916,15.1699,0.2123786,trailing_stop,2024-03-02 01:00:00+00:00,2024-03-02 04:15:00+00:00,195.0,False,1.951243,2.017136,2.043493,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.0873,2.0938,14.3726,0.0934219,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 02:00:00+00:00,60.0,False,2.043657,2.152764,2.196407,0.0,UNKNOWN,T2
BCHUSDT,LONG,500.44,500.96,0.0599,0.031148,trailing_stop,2024-03-03 01:00:00+00:00,2024-03-03 03:00:00+00:00,120.0,False,468.8275,547.85875,579.47125,0.0,UNKNOWN,T2
AAVEUSDT,LONG,117.02,114.52,0.2564,-0.641,SL_hit,2024-03-03 01:00:00+00:00,2024-03-03 06:05:00+00:00,305.0,False,114.566429,120.700357,123.153929,0.0,UNKNOWN,T2
BCHUSDT,LONG,465.73,463.75,0.0644,-0.127512,trailing_stop,2024-03-04 01:00:00+00:00,2024-03-04 01:30:00+00:00,30.0,False,448.174643,492.063036,509.618393,0.0,UNKNOWN,T2
BCHUSDT,LONG,466.61,461.15,0.0643,-0.351078,trailing_stop,2024-03-04 01:30:00+00:00,2024-03-04 07:05:00+00:00,335.0,False,447.261786,495.632321,514.980536,0.0,UNKNOWN,T2
AAVEUSDT,LONG,112.91,112.3,0.2657,-0.162077,time_stop,2024-03-04 01:15:00+00:00,2024-03-04 07:15:00+00:00,360.0,False,110.420714,116.643929,119.133214,0.0,UNKNOWN,T2
AAVEUSDT,LONG,113.66,115.29,0.2639,0.430157,trailing_stop,2024-03-05 01:00:00+00:00,2024-03-05 01:50:00+00:00,50.0,False,110.983214,117.675179,120.351964,0.0,UNKNOWN,T2
BCHUSDT,LONG,460.45,461.32,0.0652,0.056724,trailing_stop,2024-03-05 01:15:00+00:00,2024-03-05 02:00:00+00:00,45.0,False,442.530357,487.329464,505.249107,0.0,UNKNOWN,T2
AAVEUSDT,LONG,115.35,116.29,0.2601,0.244494,trailing_stop,2024-03-05 01:50:00+00:00,2024-03-05 03:20:00+00:00,90.0,False,112.2875,119.94375,123.00625,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.98,1.98,15.1515,0.0,trailing_stop,2024-03-06 01:00:00+00:00,2024-03-06 01:10:00+00:00,10.0,False,1.929304,2.056045,2.106741,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.98,1.9248,15.1515,-0.8363628,SL_hit,2024-03-06 01:10:00+00:00,2024-03-06 02:55:00+00:00,105.0,False,1.929304,2.056045,2.106741,0.0,UNKNOWN,T2
AAVEUSDT,LONG,106.47,110.16,0.2818,1.1241002,trailing_stop,2024-03-06 04:30:00+00:00,2024-03-06 05:30:00+00:00,60.0,True,103.989643,110.190536,112.670893,0.0,UNKNOWN,T2
AAVEUSDT,LONG,123.6,123.87,0.2427,0.065529,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:30:00+00:00,30.0,False,119.166071,130.250893,134.684821,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.0503,2.0517,14.632,0.0204848,trailing_stop,2024-03-07 01:00:00+00:00,2024-03-07 01:35:00+00:00,35.0,False,2.000693,2.124711,2.174318,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.0706,2.0941,14.4886,0.3404821,trailing_stop,2024-03-07 01:35:00+00:00,2024-03-07 02:00:00+00:00,25.0,False,2.017582,2.150127,2.203145,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.2317,2.2277,13.4427,-0.0537708,trailing_stop,2024-03-08 01:00:00+00:00,2024-03-08 01:30:00+00:00,30.0,False,2.183807,2.303539,2.351432,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.2174,2.1602,13.5294,-0.77388168,SL_hit,2024-03-08 01:30:00+00:00,2024-03-08 04:35:00+00:00,185.0,False,2.164525,2.296712,2.349587,0.0,UNKNOWN,T2
AAVEUSDT,LONG,130.7,129.1,0.2295,-0.3672,time_stop,2024-03-08 01:00:00+00:00,2024-03-08 07:00:00+00:00,360.0,False,126.355357,137.216964,141.561607,0.0,UNKNOWN,T2
BCHUSDT,LONG,446.44,446.44,0.0672,0.0,trailing_stop,2024-03-09 01:00:00+00:00,2024-03-09 01:10:00+00:00,10.0,False,432.99,466.615,480.065,0.0,UNKNOWN,T2
BCHUSDT,LONG,446.44,450.95,0.0672,0.303072,trailing_stop,2024-03-09 01:10:00+00:00,2024-03-09 01:35:00+00:00,25.0,False,432.99,466.615,480.065,0.0,UNKNOWN,T2
BCHUSDT,LONG,450.05,445.65,0.0667,-0.29348,time_stop,2024-03-09 01:35:00+00:00,2024-03-09 07:35:00+00:00,360.0,False,435.3875,472.04375,486.70625,0.0,UNKNOWN,T2
BCHUSDT,LONG,436.63,440.06,0.0687,0.235641,trailing_stop,2024-03-10 01:00:00+00:00,2024-03-10 01:20:00+00:00,20.0,False,431.247857,444.703214,450.085357,0.0,UNKNOWN,T2
BCHUSDT,LONG,439.44,441.09,0.0683,0.112695,trailing_stop,2024-03-10 01:20:00+00:00,2024-03-10 01:55:00+00:00,35.0,False,432.343571,450.084643,457.181071,0.0,UNKNOWN,T2
AAVEUSDT,LONG,131.69,132.38,0.2278,0.157182,time_stop,2024-03-10 01:15:00+00:00,2024-03-10 07:15:00+00:00,360.0,False,129.281071,135.303393,137.712321,0.0,UNKNOWN,T2
AAVEUSDT,LONG,128.33,128.71,0.2338,0.088844,trailing_stop,2024-03-11 03:00:00+00:00,2024-03-11 03:30:00+00:00,30.0,False,123.828214,135.082679,139.584464,0.0,UNKNOWN,T2
AAVEUSDT,LONG,128.68,129.87,0.2331,0.277389,trailing_stop,2024-03-11 03:30:00+00:00,2024-03-11 04:05:00+00:00,35.0,False,123.981786,135.727321,140.425536,0.0,UNKNOWN,T2
AAVEUSDT,LONG,129.27,129.87,0.2321,0.13926,trailing_stop,2024-03-11 04:05:00+00:00,2024-03-11 04:45:00+00:00,40.0,False,124.562857,136.330714,141.037857,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.082,2.0495,14.4092,-0.468299,SL_hit,2024-03-12 01:00:00+00:00,2024-03-12 03:45:00+00:00,165.0,False,2.056625,2.120062,2.145438,0.0,UNKNOWN,T2
AAVEUSDT,LONG,136.43,133.63,0.2199,-0.61572,SL_hit,2024-03-12 01:00:00+00:00,2024-03-12 04:00:00+00:00,180.0,False,134.313929,139.604107,141.720179,0.0,UNKNOWN,T2
BCHUSDT,LONG,431.73,423.37,0.0695,-0.58102,SL_hit,2024-03-12 13:00:00+00:00,2024-03-12 16:20:00+00:00,200.0,False,423.826429,443.585357,451.488929,0.0,UNKNOWN,T2
BCHUSDT,LONG,428.48,431.98,0.07,0.245,trailing_stop,2024-03-13 01:00:00+00:00,2024-03-13 01:40:00+00:00,40.0,False,420.140714,440.988929,449.328214,0.0,UNKNOWN,T2
AAVEUSDT,LONG,135.19,136.01,0.2219,0.181958,trailing_stop,2024-03-13 01:00:00+00:00,2024-03-13 01:40:00+00:00,40.0,False,132.986429,138.495357,140.698929,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.0447,2.0647,14.6721,0.293442,trailing_stop,2024-03-13 01:00:00+00:00,2024-03-13 02:15:00+00:00,75.0,False,2.015843,2.087986,2.116843,0.0,UNKNOWN,T2
BCHUSDT,LONG,437.75,441.38,0.0685,0.248655,trailing_stop,2024-03-14 01:00:00+00:00,2024-03-14 01:50:00+00:00,50.0,False,431.991071,446.388393,452.147321,0.0,UNKNOWN,T2
AAVEUSDT,LONG,143.56,143.56,0.209,0.0,trailing_stop,2024-03-14 02:45:00+00:00,2024-03-14 02:55:00+00:00,10.0,False,140.599286,148.001071,150.961786,0.0,UNKNOWN,T2
BCHUSDT,LONG,442.93,435.82,0.0677,-0.481347,SL_hit,2024-03-14 01:50:00+00:00,2024-03-14 04:50:00+00:00,180.0,False,436.285357,452.896964,459.541607,0.0,UNKNOWN,T2
BCHUSDT,LONG,441.12,434.21,0.068,-0.46988,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:10:00+00:00,70.0,False,435.002143,450.296786,456.414643,0.0,UNKNOWN,T2
ARBUSDT,LONG,2.0207,1.9914,14.8463,-0.43499659,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:20:00+00:00,80.0,False,1.995771,2.058093,2.083021,0.0,UNKNOWN,T2
AAVEUSDT,LONG,140.35,137.45,0.2138,-0.62002,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:20:00+00:00,80.0,False,138.242857,143.510714,145.617857,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.9123,1.9148,15.6879,0.03921975,trailing_stop,2024-03-16 01:00:00+00:00,2024-03-16 04:30:00+00:00,210.0,False,1.874782,1.968577,2.006095,0.0,UNKNOWN,T2
BCHUSDT,LONG,417.07,408.55,0.0719,-0.612588,SL_hit,2024-03-16 01:00:00+00:00,2024-03-16 05:10:00+00:00,250.0,False,409.445,428.5075,436.1325,0.0,UNKNOWN,T2
AAVEUSDT,LONG,128.68,125.41,0.2331,-0.762237,SL_hit,2024-03-16 01:00:00+00:00,2024-03-16 05:15:00+00:00,255.0,False,126.012143,132.681786,135.349643,0.0,UNKNOWN,T2
BCHUSDT,LONG,393.4,396.37,0.0763,0.226611,trailing_stop,2024-03-17 02:00:00+00:00,2024-03-17 02:55:00+00:00,55.0,False,380.151786,413.272321,426.520536,0.0,UNKNOWN,T2
AAVEUSDT,LONG,120.89,121.34,0.2482,0.11169,trailing_stop,2024-03-17 02:15:00+00:00,2024-03-17 04:00:00+00:00,105.0,False,116.766786,127.074821,131.198036,0.0,UNKNOWN,T2
BCHUSDT,LONG,396.37,383.9,0.0757,-0.943979,SL_hit,2024-03-17 02:55:00+00:00,2024-03-17 06:35:00+00:00,220.0,False,385.018214,413.397679,424.749464,0.0,UNKNOWN,T2
BCHUSDT,LONG,400.38,402.5,0.0749,0.158788,trailing_stop,2024-03-18 02:00:00+00:00,2024-03-18 02:55:00+00:00,55.0,False,391.474643,413.738036,422.643393,0.0,UNKNOWN,T2
AAVEUSDT,LONG,126.56,126.77,0.237,0.04977,trailing_stop,2024-03-18 02:00:00+00:00,2024-03-18 02:55:00+00:00,55.0,False,123.002857,131.895714,135.452857,0.0,UNKNOWN,T2
BCHUSDT,LONG,402.5,402.63,0.0745,0.009685,trailing_stop,2024-03-18 02:55:00+00:00,2024-03-18 05:00:00+00:00,125.0,False,393.244643,416.383036,425.638393,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.5642,1.5807,19.1791,0.31645515,trailing_stop,2024-03-19 12:00:00+00:00,2024-03-19 12:55:00+00:00,55.0,False,1.500539,1.659691,1.723352,0.0,UNKNOWN,T2
AAVEUSDT,LONG,114.78,115.56,0.2614,0.203892,trailing_stop,2024-03-19 12:30:00+00:00,2024-03-19 16:10:00+00:00,220.0,False,110.488929,121.216607,125.507679,0.0,UNKNOWN,T2
BCHUSDT,LONG,375.32,377.98,0.0799,0.212534,trailing_stop,2024-03-19 12:30:00+00:00,2024-03-19 17:15:00+00:00,285.0,False,361.828929,395.556607,409.047679,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6348,1.6446,18.3509,0.17983882,trailing_stop,2024-03-20 01:00:00+00:00,2024-03-20 02:30:00+00:00,90.0,False,1.570639,1.731041,1.795202,0.0,UNKNOWN,T2
BCHUSDT,LONG,368.43,354.15,0.0814,-1.162392,SL_hit,2024-03-20 03:15:00+00:00,2024-03-20 04:30:00+00:00,75.0,False,356.656786,386.089821,397.863036,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6417,1.5833,18.2737,-1.06718408,SL_hit,2024-03-20 02:30:00+00:00,2024-03-20 05:10:00+00:00,160.0,False,1.583504,1.728995,1.787191,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.7614,1.7621,17.0319,0.01192233,trailing_stop,2024-03-21 01:00:00+00:00,2024-03-21 01:30:00+00:00,30.0,False,1.724829,1.816257,1.852829,0.0,UNKNOWN,T2
AAVEUSDT,LONG,120.38,120.75,0.2492,0.092204,trailing_stop,2024-03-21 01:00:00+00:00,2024-03-21 03:40:00+00:00,160.0,False,118.2675,123.54875,125.66125,0.0,UNKNOWN,T2
BCHUSDT,LONG,408.04,413.19,0.0735,0.378525,trailing_stop,2024-03-21 01:00:00+00:00,2024-03-21 04:20:00+00:00,200.0,False,399.736429,420.495357,428.798929,0.0,UNKNOWN,T2
AAVEUSDT,LONG,123.19,120.14,0.2435,-0.742675,SL_hit,2024-03-22 01:00:00+00:00,2024-03-22 02:05:00+00:00,65.0,False,120.611429,127.057857,129.636429,0.0,UNKNOWN,T2
AAVEUSDT,LONG,123.24,123.48,0.2434,0.058416,trailing_stop,2024-03-22 03:15:00+00:00,2024-03-22 04:00:00+00:00,45.0,False,120.313214,127.630179,130.556964,0.0,UNKNOWN,T2
BCHUSDT,LONG,417.88,415.67,0.0718,-0.158678,trailing_stop,2024-03-22 03:45:00+00:00,2024-03-22 04:10:00+00:00,25.0,False,409.972857,429.740714,437.647857,0.0,UNKNOWN,T2
BCHUSDT,LONG,435.35,443.7,0.0689,0.575315,trailing_stop,2024-03-23 01:00:00+00:00,2024-03-23 01:40:00+00:00,40.0,False,421.128571,456.682143,470.903571,0.0,UNKNOWN,T2
AAVEUSDT,LONG,119.6,120.89,0.2508,0.323532,trailing_stop,2024-03-23 01:00:00+00:00,2024-03-23 01:40:00+00:00,40.0,False,117.4125,122.88125,125.06875,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6163,1.6218,18.5609,0.10208495,trailing_stop,2024-03-23 01:00:00+00:00,2024-03-23 02:05:00+00:00,65.0,False,1.588943,1.657336,1.684693,0.0,UNKNOWN,T2
AAVEUSDT,LONG,122.7,122.62,0.2445,-0.01956,trailing_stop,2024-03-24 02:15:00+00:00,2024-03-24 03:00:00+00:00,45.0,False,120.821429,125.517857,127.396429,0.0,UNKNOWN,T2
BCHUSDT,LONG,457.19,447.27,0.0656,-0.650752,SL_hit,2024-03-24 04:15:00+00:00,2024-03-24 07:15:00+00:00,180.0,False,448.029286,470.931071,480.091786,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6519,1.6563,18.1609,0.07990796,trailing_stop,2024-03-24 12:00:00+00:00,2024-03-24 12:55:00+00:00,55.0,False,1.621668,1.697248,1.72748,0.0,UNKNOWN,T2
AAVEUSDT,LONG,125.31,125.53,0.2394,0.052668,trailing_stop,2024-03-25 01:00:00+00:00,2024-03-25 01:45:00+00:00,45.0,False,123.413571,128.154643,130.051071,0.0,UNKNOWN,T2
BCHUSDT,LONG,488.42,491.63,0.0614,0.197094,trailing_stop,2024-03-25 01:00:00+00:00,2024-03-25 02:35:00+00:00,95.0,False,470.755714,514.916429,532.580714,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6642,1.689,18.0267,0.55486183,trailing_stop,2024-03-25 01:00:00+00:00,2024-03-25 05:20:00+00:00,260.0,True,1.643039,1.695941,1.717102,0.0,UNKNOWN,T2
AAVEUSDT,LONG,128.53,129.49,0.2334,0.224064,trailing_stop,2024-03-26 01:00:00+00:00,2024-03-26 03:10:00+00:00,130.0,False,126.774643,131.163036,132.918393,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.7306,1.7363,17.335,0.0988095,trailing_stop,2024-03-26 01:00:00+00:00,2024-03-26 04:10:00+00:00,190.0,False,1.703636,1.771046,1.798011,0.0,UNKNOWN,T2
BCHUSDT,LONG,494.16,486.7,0.0607,-0.452822,SL_hit,2024-03-26 02:30:00+00:00,2024-03-26 04:15:00+00:00,105.0,False,486.868929,505.096607,512.387679,0.0,UNKNOWN,T2
BCHUSDT,LONG,484.73,487.65,0.0619,0.180748,trailing_stop,2024-03-27 01:00:00+00:00,2024-03-27 01:35:00+00:00,35.0,False,473.383571,501.749643,513.096071,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.7272,1.7356,17.3692,0.14590128,trailing_stop,2024-03-27 01:00:00+00:00,2024-03-27 04:10:00+00:00,190.0,False,1.705146,1.76028,1.782334,0.0,UNKNOWN,T2
AAVEUSDT,LONG,132.22,129.88,0.2269,-0.530946,SL_hit,2024-03-27 01:00:00+00:00,2024-03-27 04:45:00+00:00,225.0,False,130.011071,135.533393,137.742321,0.0,UNKNOWN,T2
BCHUSDT,LONG,541.22,539.23,0.0554,-0.110246,trailing_stop,2024-03-28 01:30:00+00:00,2024-03-28 02:30:00+00:00,60.0,False,525.164643,565.303036,581.358393,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6595,1.6923,18.0777,0.59294856,trailing_stop,2024-03-28 04:30:00+00:00,2024-03-28 08:25:00+00:00,235.0,False,1.632482,1.700027,1.727045,0.0,UNKNOWN,T2
AAVEUSDT,LONG,125.3,126.34,0.2394,0.248976,trailing_stop,2024-03-28 05:00:00+00:00,2024-03-28 09:20:00+00:00,260.0,False,123.021429,128.717857,130.996429,0.0,UNKNOWN,T2
